SEASON;TEAM_NAME;GP;W;L;W_PCT;MIN;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;OFF_RATING;DEF_RATING;NET_RATING;AST_PCT;AST_TO;AST_RATIO;OREB_PCT;DREB_PCT;REB_PCT;TM_TOV_PCT;EFG_PCT;TS_PCT;PACE;POSS;PIE
2015-16;Utah Jazz;82;40;42;0.488;3991.0;36.1;80.4;0.449;8.5;23.9;0.355;17.1;23.0;0.744;10.7;32.5;43.2;19.0;14.9;7.7;5.2;4.7;20.2;19.9;97.7;1.8;105.0;103.2;1.8;0.526;1.27;15.1;0.303;0.731;0.517;0.161;0.501;0.54;91.66;7625;0.508
2015-16;Washington Wizards;82;41;41;0.5;3951.0;39.5;85.8;0.46;8.6;24.2;0.358;16.5;22.5;0.73;9.1;32.8;41.8;24.5;14.5;8.6;3.9;4.3;20.8;20.1;104.1;-0.5;104.5;105.1;-0.5;0.619;1.69;18.1;0.25;0.737;0.49;0.145;0.511;0.544;99.16;8163;0.497
2016-17;Atlanta Hawks;82;43;39;0.524;3976.0;38.1;84.4;0.451;8.9;26.1;0.341;18.1;24.9;0.728;10.3;34.1;44.3;23.6;15.8;8.2;4.8;5.2;18.2;21.6;103.2;-0.9;104.5;105.2;-0.7;0.621;1.5;17.4;0.282;0.717;0.502;0.16;0.504;0.541;97.76;8091;0.506
2016-17;Boston Celtics;82;53;29;0.646;3951.0;38.6;85.1;0.454;12.0;33.4;0.359;18.7;23.2;0.807;9.1;32.9;42.0;25.2;13.3;7.5;4.1;5.2;20.6;20.3;108.0;2.6;110.6;108.0;2.6;0.653;1.9;18.8;0.259;0.705;0.485;0.136;0.525;0.567;97.21;8005;0.514
2016-17;Brooklyn Nets;82;20;62;0.244;3951.0;37.8;85.2;0.444;10.7;31.6;0.338;19.4;24.6;0.788;8.8;35.1;43.9;21.4;16.5;7.2;4.7;5.6;21.0;20.4;105.8;-6.7;103.6;110.1;-6.5;0.566;1.29;15.9;0.241;0.716;0.483;0.162;0.507;0.551;101.75;8371;0.46
2016-17;Charlotte Hornets;82;36;46;0.439;3966.0;37.7;85.4;0.442;10.0;28.6;0.351;19.4;23.8;0.815;8.8;34.8;43.6;23.1;11.5;7.0;4.8;5.5;16.6;19.9;104.9;0.2;108.4;108.4;0.0;0.611;2.01;17.6;0.247;0.749;0.496;0.119;0.501;0.547;95.92;7934;0.505
2016-17;Chicago Bulls;82;41;41;0.5;3956.0;38.6;87.1;0.444;7.6;22.3;0.34;18.0;22.5;0.798;12.2;34.1;46.3;22.6;13.6;7.8;4.8;4.6;17.7;18.8;102.9;0.4;106.5;106.2;0.3;0.584;1.66;16.8;0.311;0.733;0.519;0.14;0.487;0.53;96.02;7919;0.504
2016-17;Cleveland Cavaliers;82;51;31;0.622;3976.0;39.9;84.9;0.47;13.0;33.9;0.384;17.5;23.3;0.748;9.3;34.4;43.7;22.7;13.7;6.6;4.0;4.3;18.1;20.6;110.3;3.2;112.8;109.7;3.1;0.567;1.66;17.1;0.264;0.722;0.499;0.14;0.547;0.58;96.74;8019;0.51
2016-17;Dallas Mavericks;82;33;49;0.402;3956.0;36.2;82.3;0.44;10.7;30.2;0.355;14.8;18.5;0.801;7.9;30.7;38.6;20.8;11.9;7.5;3.7;3.4;19.1;19.4;97.9;-2.9;104.7;107.7;-3.0;0.574;1.75;16.8;0.216;0.733;0.465;0.127;0.505;0.541;93.11;7668;0.479
2016-17;Denver Nuggets;82;40;42;0.488;3951.0;41.2;87.7;0.469;10.6;28.8;0.368;18.7;24.2;0.774;11.8;34.6;46.4;25.3;15.0;6.9;3.9;4.9;19.1;20.2;111.7;0.5;112.2;111.7;0.4;0.615;1.69;18.2;0.314;0.753;0.532;0.15;0.53;0.568;99.18;8167;0.503
2016-17;Detroit Pistons;82;37;45;0.451;3961.0;39.9;88.8;0.449;7.7;23.4;0.33;13.9;19.3;0.719;11.1;34.6;45.7;21.1;11.9;7.0;3.8;4.1;17.9;17.5;101.3;-1.1;105.3;106.7;-1.4;0.53;1.78;16.1;0.286;0.775;0.519;0.123;0.492;0.521;95.52;7890;0.482
2016-17;Golden State Warriors;82;67;15;0.817;3956.0;43.1;87.1;0.495;12.0;31.2;0.383;17.8;22.6;0.788;9.4;35.0;44.4;30.4;14.8;9.6;6.8;3.8;19.3;19.4;115.9;11.6;114.8;103.4;11.4;0.705;2.06;21.2;0.272;0.709;0.504;0.146;0.563;0.597;100.37;8279;0.579
2016-17;Houston Rockets;82;55;27;0.671;3956.0;40.3;87.2;0.462;14.4;40.3;0.357;20.3;26.5;0.766;10.9;33.5;44.4;25.2;15.1;8.2;4.3;5.0;19.9;20.4;115.3;5.8;114.1;108.4;5.7;0.626;1.67;18.1;0.281;0.717;0.499;0.15;0.545;0.583;100.55;8289;0.516
2016-17;Indiana Pacers;82;42;40;0.512;3971.0;39.3;84.5;0.465;8.6;23.0;0.376;17.9;22.1;0.81;9.0;33.0;42.0;22.5;13.8;8.2;5.0;5.0;19.5;19.5;105.1;-0.2;107.9;108.1;-0.2;0.572;1.63;17.2;0.255;0.713;0.488;0.141;0.516;0.558;96.59;7989;0.505
2016-17;LA Clippers;82;51;31;0.622;3951.0;39.5;83.2;0.475;10.3;27.4;0.375;19.3;26.0;0.745;9.0;34.0;43.0;22.5;13.0;7.5;4.2;3.1;19.8;22.4;108.7;4.3;111.8;107.5;4.4;0.57;1.74;17.2;0.256;0.733;0.501;0.133;0.537;0.574;96.77;7968;0.527
2016-17;Los Angeles Lakers;82;26;56;0.317;3941.0;39.3;87.4;0.45;8.9;25.7;0.346;17.0;22.6;0.754;11.4;32.1;43.5;20.9;15.2;8.2;3.9;5.4;20.7;18.5;104.6;-6.9;105.3;112.0;-6.7;0.532;1.38;15.6;0.284;0.717;0.494;0.153;0.501;0.537;99.26;8143;0.446
2016-17;Memphis Grizzlies;82;43;39;0.524;3981.0;36.4;83.6;0.435;9.4;26.5;0.354;18.3;23.4;0.784;10.8;32.0;42.8;21.3;12.9;8.0;4.2;5.0;22.4;20.8;100.5;0.5;107.0;106.5;0.5;0.584;1.65;16.5;0.295;0.731;0.507;0.137;0.491;0.535;92.84;7702;0.501
2016-17;Miami Heat;82;41;41;0.5;3956.0;39.0;85.8;0.455;9.9;27.0;0.365;15.2;21.6;0.706;10.6;33.0;43.6;21.2;13.4;7.2;5.7;4.9;20.5;18.7;103.2;1.1;107.4;106.4;1.0;0.544;1.58;16.3;0.284;0.718;0.499;0.14;0.512;0.541;95.51;7875;0.5
2016-17;Milwaukee Bucks;82;42;40;0.512;3956.0;38.8;81.9;0.474;8.8;23.7;0.37;17.2;22.4;0.768;8.8;31.6;40.4;24.2;14.0;8.1;5.3;4.6;20.2;19.3;103.6;-0.2;108.5;108.7;-0.2;0.624;1.73;18.5;0.26;0.706;0.487;0.146;0.527;0.565;94.99;7828;0.504
2016-17;Minnesota Timberwolves;82;31;51;0.378;3961.0;39.5;84.4;0.467;7.3;21.0;0.349;19.3;24.2;0.799;11.4;31.0;42.4;23.7;14.0;8.0;4.5;5.0;20.1;20.5;105.6;-1.1;110.0;110.9;-0.9;0.6;1.69;17.7;0.309;0.71;0.507;0.146;0.511;0.555;95.48;7870;0.501
2016-17;New Orleans Pelicans;82;34;48;0.415;3981.0;39.1;87.0;0.45;9.4;26.8;0.35;16.7;22.3;0.75;8.6;35.1;43.7;22.8;12.9;7.8;5.5;4.2;18.2;19.3;104.3;-2.1;104.7;106.8;-2.1;0.582;1.77;17.1;0.228;0.728;0.48;0.129;0.504;0.539;98.56;8173;0.493
2016-17;New York Knicks;82;31;51;0.378;3971.0;39.6;88.5;0.447;8.6;24.7;0.348;16.6;21.1;0.788;12.0;33.2;45.2;21.8;13.9;7.1;5.5;4.6;20.3;18.5;104.3;-3.7;107.1;110.7;-3.6;0.551;1.57;16.3;0.305;0.698;0.5;0.143;0.496;0.534;96.63;7990;0.482
2016-17;Oklahoma City Thunder;82;47;35;0.573;3961.0;39.5;87.4;0.452;8.4;25.8;0.327;19.2;25.8;0.745;12.2;34.4;46.6;21.0;15.0;7.9;5.0;5.5;20.9;20.7;106.6;0.8;107.9;107.1;0.8;0.532;1.4;15.5;0.323;0.742;0.528;0.152;0.5;0.54;98.18;8099;0.499
2016-17;Orlando Magic;82;29;53;0.354;3961.0;38.3;87.0;0.44;8.5;26.1;0.328;16.0;21.4;0.747;9.8;33.3;43.2;22.2;13.3;7.1;4.8;5.1;19.3;18.7;101.1;-6.6;103.7;110.3;-6.5;0.58;1.67;16.8;0.267;0.726;0.491;0.137;0.489;0.524;96.9;7989;0.46
2016-17;Philadelphia 76ers;82;28;54;0.341;3966.0;37.7;85.3;0.442;10.1;29.8;0.34;17.0;22.0;0.771;9.8;33.0;42.8;23.8;16.7;8.4;5.1;5.4;21.9;19.6;102.4;-5.7;102.7;108.2;-5.5;0.631;1.43;17.4;0.273;0.709;0.49;0.167;0.501;0.539;99.07;8179;0.47
2016-17;Phoenix Suns;82;24;58;0.293;3966.0;39.9;88.5;0.45;7.5;22.6;0.332;20.4;26.3;0.776;11.9;33.1;45.0;19.6;15.4;8.2;4.9;5.3;24.8;22.2;107.7;-5.6;106.1;111.3;-5.2;0.491;1.27;14.4;0.299;0.718;0.503;0.152;0.493;0.538;100.85;8320;0.462
2016-17;Portland Trail Blazers;82;41;41;0.5;3986.0;39.5;86.1;0.459;10.4;27.7;0.375;18.5;23.7;0.78;10.1;33.5;43.7;21.1;13.7;7.0;5.0;5.3;21.2;19.8;107.9;-0.5;109.4;110.0;-0.6;0.534;1.54;16.0;0.269;0.72;0.496;0.139;0.52;0.559;97.38;8088;0.493
2016-17;Sacramento Kings;82;32;50;0.39;3976.0;37.9;82.1;0.461;9.0;23.9;0.376;18.1;23.3;0.775;8.7;32.3;41.1;22.5;14.6;7.6;4.0;5.1;20.3;20.1;102.8;-3.9;106.6;110.8;-4.2;0.594;1.54;17.3;0.258;0.723;0.492;0.152;0.516;0.556;95.42;7911;0.478
2016-17;San Antonio Spurs;82;61;21;0.744;3961.0;39.3;83.7;0.469;9.2;23.5;0.391;17.6;22.0;0.797;10.0;33.9;43.9;23.8;13.4;8.0;5.9;4.1;18.3;19.8;105.3;7.2;110.3;102.9;7.4;0.606;1.77;18.1;0.282;0.73;0.511;0.141;0.524;0.564;94.86;7832;0.551
2016-17;Toronto Raptors;82;51;31;0.622;3956.0;39.2;84.4;0.464;8.8;24.3;0.363;19.7;24.7;0.796;10.6;32.6;43.3;18.5;12.7;8.3;4.9;4.8;20.8;20.3;106.9;4.2;111.4;107.1;4.3;0.472;1.46;14.5;0.291;0.717;0.505;0.132;0.517;0.561;95.41;7867;0.516
